intentType,obs_collection,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,proposal_id,proposal_pi,dataproduct_type,calib_level,t_min,t_max,t_exptime,em_min,em_max,obs_title,t_obs_release,proposal_type,sequence_number,s_region,jpegURL,mtFlag,srcDen,obsid,objID,distance,MatchID,MatchRA,MatchDEC,dstArcSec,skyVersion,run,rerun,camcol,field,obj,mode,nChild,type,clean,probPSF,insideMask,flags,flags_u,flags_g,flags_r,flags_i,flags_z,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,petroR50_r,petroR90_r,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,fracDeV_u,fracDeV_g,fracDeV_r,fracDeV_i,fracDeV_z,psffwhm_u,psffwhm_g,psffwhm_r,psffwhm_i,psffwhm_z,resolveStatus,thingId,balkanId,nObserve,nDetect,calibStatus_u,calibStatus_g,calibStatus_r,calibStatus_i,calibStatus_z,cx,cy,cz,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,htmID,fieldID,specObjID,size
science,K2,Kepler,hlsp_k2sff,kepler,OPTICAL,k2sff211402320,,k2sff211402320-c05_lc,132.873184,11.676159,,,timeseries,2,57139.0959716435,57213.9442542824,1800,418400000000,905000000000,,NaN,hlsp_k2sff,5,POLYGON ICRS 132.87091503 11.67838100 132.87091507 11.67393700 132.87545293 11.67393700 132.87545297 11.67838100,http://archive.stsci.edu/hlsps/k2sff/c05/211400000/02320/hlsp_k2sff_k2_lightcurve_211402320-c05_kepler_v1_llc.png,False,5885,9200168999,9200168999,466.781367574639,1237671262272291530,132.873183904716,11.6761589044091,0.000480903297069096,2,6004,301,5,115,714,1,0,6,1,1,0,69591892552,275213484616,335577160,4503600499818568,275213484104,275347701832,20.69396,19.66294,19.3742,19.3006,19.18442,0.04858123,0.01449821,0.01428794,0.0160827,0.03477228,20.64251,19.71153,19.41634,19.3124,19.23022,0.08135594,0.01815354,0.02001895,0.02667097,0.07555699,0.6716531,1.627954,20.68054,19.67233,19.37696,19.29679,19.17542,0.05158542,0.01328921,0.0132817,0.01557196,0.03595733,20.66637,19.67091,19.37696,19.28615,19.15341,0.05192322,0.01328921,0.0132817,0.01830806,0.03594992,1,0,0,0,1,1.072637,1.173388,1.200763,0.9893072,0.9721752,257,216225639,5121913,3,3,24577,24705,24577,24577,24577,-0.666298954856539,0.717696392734298,0.202379817702408,0.1221953,0.09521379,0.06586845,0.04894732,0.03640781,16298244855298,1237671262272290816,0,1.28681426073069
science,K2,Kepler,hlsp_k2sff,kepler,OPTICAL,k2sff211406012,,k2sff211406012-c05_lc,132.637878,11.73298,,,timeseries,2,57139.0959716435,57213.9442542824,1800,418400000000,905000000000,,NaN,hlsp_k2sff,5,POLYGON ICRS 132.63560856 11.73520200 132.63560860 11.73075800 132.64014740 11.73075800 132.64014744 11.73520200,http://archive.stsci.edu/hlsps/k2sff/c05/211400000/06012/hlsp_k2sff_k2_lightcurve_211406012-c05_kepler_v1_llc.png,False,5885,9200169163,9200169163,691.987125971554,1237670964308410943,132.637878258583,11.7329801458327,0.00105183678366855,2,5935,301,2,107,575,1,0,6,1,1,0,68987912448,9007199397380353,275146375168,4503874773745664,268468224,275146375168,25.27124,21.27245,19.89514,18.73466,18.08869,0.7309998,0.04318635,0.02212073,0.02015204,0.0249082,24.76457,21.37682,19.95671,18.79543,18.13844,1.567301,0.07434495,0.03473615,0.0195953,0.03822166,0.6659017,1.403962,25.86739,21.27128,19.89522,18.72425,18.07746,0.4904592,0.04224425,0.02003559,0.01224585,0.02104189,25.86132,21.27188,19.89523,18.72538,18.07564,0.4895062,0.05385034,0.02003558,0.01224532,0.02104168,0,1,1,1,0,1.490399,1.414181,1.194018,1.159877,1.158667,257,216614491,5121879,3,3,24577,24577,24577,24577,24577,-0.663209591486146,0.720278726209516,0.20335091426098,0.1237181,0.09640031,0.06668928,0.04955728,0.03686152,16298222507785,1237670964308410368,0,1.29233648509134
science,K2,Kepler,hlsp_k2sff,kepler,OPTICAL,k2sff211421224,,k2sff211421224-c05_lc,132.716354,11.958737,,,timeseries,2,57139.0959716435,57213.9442542824,1800,418400000000,905000000000,,NaN,hlsp_k2sff,5,POLYGON ICRS 132.71408269 11.96095900 132.71408272 11.95651500 132.71862528 11.95651500 132.71862531 11.96095900,http://archive.stsci.edu/hlsps/k2sff/c05/211400000/21224/hlsp_k2sff_k2_lightcurve_211421224-c05_kepler_v1_llc.png,False,5885,9200168521,9200168521,676.695720922536,1237671125370340131,132.716354303828,11.9587369155934,0.00111235073025778,2,5972,301,6,117,803,1,0,3,1,0,0,35253360132368,9007199397380369,275146375184,4503874773745680,275146506256,275146506256,24.439,21.46904,20.35568,19.82652,19.31687,1.473894,0.05996449,0.0554773,0.05436485,0.06100388,24.82759,21.00112,19.78144,19.26112,18.83866,5.693157,0.1459156,0.09852174,0.1266358,0.1552871,1.290899,2.873132,24.49983,20.84846,19.668,19.1809,18.70422,1.538962,0.04375553,0.02430717,0.02431974,0.04978507,24.44456,20.94462,19.6947,19.19453,18.83724,0.8970222,0.04471913,0.03654992,0.02894707,0.04972742,1,0.9007788,0.8376498,0.9897682,0.9526809,1.52329,1.500197,1.462184,1.513347,1.493973,257,217706815,5063110,2,2,24577,24577,24577,24577,24577,-0.663646816680257,0.718775402933399,0.207207197867476,0.139479,0.1086811,0.07518506,0.05587056,0.04155743,16298198790495,1237671125370339328,0,2.35092184775265
science,K2,Kepler,hlsp_k2sff,kepler,OPTICAL,k2sff211402860,,k2sff211402860-c05_lc,132.827759,11.685089,,,timeseries,2,57139.0959716435,57213.9442542824,1800,418400000000,905000000000,,NaN,hlsp_k2sff,5,POLYGON ICRS 132.82548996 11.68731100 132.82548999 11.68286700 132.83002801 11.68286700 132.83002804 11.68731100,http://archive.stsci.edu/hlsps/k2sff/c05/211400000/02860/hlsp_k2sff_k2_lightcurve_211402860-c05_kepler_v1_llc.png,False,5885,9200169021,9200169021,405.684075664254,1237671262272225811,132.827759291661,11.6850888553868,0.00115250436395667,2,6004,301,5,114,531,1,0,6,1,1,0,105622104310288,2314920577615429649,2305843009490682384,2310346609109533200,2305843009482162704,2305843284360200208,23.34586,20.79535,19.28955,18.50047,18.04761,1.411641,1.840715,0.7232445,0.4362324,0.3347457,26.89407,19.87239,18.04704,17.49547,17.69876,8.518853,11.06053,2.800899,2.664979,4.054073,4.029957,8.147085,23.30671,20.13632,18.68657,17.95829,17.49054,0.7406255,0.03458652,0.01452166,0.0113127,0.01946271,23.55947,20.76525,19.24155,18.45996,18.01793,0.6014255,0.03342248,0.01473826,0.01049074,0.01754918,0,0.02253585,0.04684548,0.01497701,0.006787549,1.053571,1.151653,1.272488,1.002673,0.9744005,257,215944191,5121900,3,3,24577,24705,24705,24577,24577,-0.66570829886286,0.718201273093876,0.202532447157123,0.1240887,0.09668909,0.06688907,0.04970574,0.03697194,16298247021830,1237671262272225280,0,1.33448878033218
science,K2,Kepler,hlsp_k2sff,kepler,OPTICAL,k2sff211402191,,k2sff211402191-c05_lc,132.987778,11.674133,,,timeseries,2,57139.0959716435,57213.9442542824,1800,418400000000,905000000000,,NaN,hlsp_k2sff,5,POLYGON ICRS 132.98550905 11.67635500 132.98550908 11.67191100 132.99004692 11.67191100 132.99004695 11.67635500,http://archive.stsci.edu/hlsps/k2sff/c05/211400000/02191/hlsp_k2sff_k2_lightcurve_211402191-c05_kepler_v1_llc.png,False,5885,9200168992,9200168992,719.864549185887,1237671262272291368,132.987778081368,11.6741326782928,0.00119314436544559,2,6004,301,5,115,552,1,0,6,1,1,0,35253393686544,275179929616,302022672,4503599929393168,302022672,275179929616,20.11551,18.80732,18.36894,18.20223,18.19593,0.0360002,0.01171574,0.01032073,0.01086771,0.02005404,20.18271,18.89283,18.42466,18.27209,18.22019,0.05347921,0.009649981,0.008715462,0.01073245,0.02978782,0.6240794,1.430605,20.12239,18.83972,18.37288,18.21806,18.1855,0.037264,0.008715063,0.007710107,0.008745163,0.01847283,20.09934,18.83982,18.37287,18.21833,18.16867,0.04902331,0.008714397,0.009708332,0.00911522,0.01937406,0,1,0,1,0,1.110795,1.332873,1.126256,0.9385415,0.9702689,257,216225867,5121916,3,3,24577,24705,24577,24577,24577,-0.667737926359937,0.716367564723658,0.202345185048783,0.1095222,0.08533892,0.05903707,0.04387087,0.03263187,16298237510754,1237671262272290816,5.95733112043757E+18,1.20018210221447
science,K2,Kepler,hlsp_k2sff,kepler,OPTICAL,k2sff211402645,,k2sff211402645-c05_lc,132.930252,11.681758,,,timeseries,2,57139.0959716435,57213.9442542824,1800,418400000000,905000000000,,NaN,hlsp_k2sff,5,POLYGON ICRS 132.92798298 11.68398000 132.92798302 11.67953600 132.93252098 11.67953600 132.93252102 11.68398000,http://archive.stsci.edu/hlsps/k2sff/c05/211400000/02645/hlsp_k2sff_k2_lightcurve_211402645-c05_kepler_v1_llc.png,False,5885,9200169015,9200169015,553.357733151024,1237671262272291236,132.930251739297,11.6817577858233,0.00119967850664671,2,6004,301,5,115,420,1,0,3,1,0,0,105622104314640,9077568275775761,2252074960195600,6755674595819536,2252074968449552,2252074968449552,23.83333,21.84876,20.92266,20.51369,20.08018,0.4629306,3.228932,2.756002,3.097163,0.0854115,24.61903,20.95605,19.98512,19.35345,19.25636,6.926409,6.939113,6.099504,6.647526,0.9098024,1.529217,4.387404,23.65937,20.80445,19.8739,19.26991,19.00886,1.010469,0.06182474,0.03785447,0.03093331,0.06497175,24.04391,20.95672,19.95006,19.20172,19.26806,0.6665947,0.0619625,0.03810991,0.03123312,0.07363925,1,0.4127369,0.6989143,0.745832,1,1.092571,1.246887,1.160836,0.9660794,0.9709395,257,216225567,5121913,3,3,24577,24705,24577,24577,24577,-0.666999992354728,0.717017905359258,0.202475513564025,0.1145328,0.08924321,0.06173804,0.04587798,0.03412479,16298237983587,1237671262272290816,0,2.54813302453101
science,K2,Kepler,hlsp_k2sff,kepler,OPTICAL,k2sff211417147,,k2sff211417147-c05_lc,132.636749,11.899219,,,timeseries,2,57139.0959716435,57213.9442542824,1800,418400000000,905000000000,,NaN,hlsp_k2sff,5,POLYGON ICRS 132.63447819 11.90144100 132.63447822 11.89699700 132.63901978 11.89699700 132.63901981 11.90144100,http://archive.stsci.edu/hlsps/k2sff/c05/211400000/17147/hlsp_k2sff_k2_lightcurve_211417147-c05_kepler_v1_llc.png,False,5885,9200168331,9200168331,742.498199396374,1237671125370274195,132.636748906647,11.8992193718766,0.00137855310912644,2,5972,301,6,116,403,1,0,3,1,0,0,35253360136208,2252074960191504,2252074960195600,6755674587430928,2252074960060432,2252074960060432,20.95253,19.99787,19.34396,18.84311,18.62065,0.06717815,0.01857268,0.01705282,0.01604374,0.02982443,20.71772,19.60653,19.01244,18.51807,18.24906,0.1327014,0.02265153,0.01936977,0.01930589,0.05032128,1.011884,2.450485,20.6336,19.62079,18.96431,18.48641,18.26199,0.07387627,0.01433337,0.01183621,0.01178042,0.02843845,20.71625,19.55982,18.97054,18.46898,18.20986,0.09919304,0.01432196,0.01184,0.0117818,0.03018075,0.8462548,1,0.9240528,0.9348382,1,1.503503,1.423149,1.404988,1.4791,1.476802,257,217428263,5063093,2,2,24577,24577,24577,24577,24577,-0.662792963210477,0.719854721307806,0.206190853651503,0.1457392,0.113559,0.07855957,0.05837818,0.04342264,16298255136200,1237671125370273792,0,1.91732609503595
science,K2,Kepler,hlsp_k2sff,kepler,OPTICAL,k2sff211404660,,k2sff211404660-c05_lc,132.635147,11.712908,,,timeseries,2,57139.0959716435,57213.9442542824,1800,418400000000,905000000000,,NaN,hlsp_k2sff,5,POLYGON ICRS 132.63287773 11.71513000 132.63287777 11.71068600 132.63741623 11.71068600 132.63741627 11.71513000,http://archive.stsci.edu/hlsps/k2sff/c05/211400000/04660/hlsp_k2sff_k2_lightcurve_211404660-c05_kepler_v1_llc.png,False,5885,9200169100,9200169100,728.31728499323,1237670964308410801,132.635146532721,11.7129080097434,0.00164754875303174,2,5935,301,2,107,433,1,0,6,1,1,0,158398662443008,275146342400,158604820905984,4503874773712896,275146342400,275146342400,20.91838,19.82725,19.39343,19.20777,19.16925,0.06924996,0.02436013,0.01798147,0.02273084,0.04814274,20.90315,19.89958,19.43924,19.32624,19.29183,0.1107282,0.02184946,0.02269649,0.03159181,0.1098513,0.6706802,1.482657,20.92552,19.83066,19.38452,19.20235,19.17526,0.07433728,0.01537461,0.01435264,0.01682582,0.0491503,20.84486,19.83062,19.38451,19.20103,19.17414,0.07606086,0.01557228,0.01891847,0.01682413,0.04914033,1,0,0,0,0,1.479302,1.418273,1.195372,1.160994,1.159366,257,216614477,5121879,3,3,24577,24577,24577,24577,24577,-0.663223460912632,0.720362710581286,0.203007896642108,0.1214387,0.09462418,0.06546057,0.04864422,0.03618236,16298222427695,1237670964308410368,0,1.2949022202417
science,K2,Kepler,hlsp_k2sff,kepler,OPTICAL,k2sff211404209,,k2sff211404209-c05_lc,132.918365,11.706198,,,timeseries,2,57139.0959716435,57213.9442542824,1800,418400000000,905000000000,,NaN,hlsp_k2sff,5,POLYGON ICRS 132.91609578 11.70842000 132.91609582 11.70397600 132.92063418 11.70397600 132.92063422 11.70842000,http://archive.stsci.edu/hlsps/k2sff/c05/211400000/04209/hlsp_k2sff_k2_lightcurve_211404209-c05_kepler_v1_llc.png,False,5885,9200169078,9200169078,460.194300239343,1237671262272291801,132.918365330594,11.7061976548227,0.00170360611780757,2,6004,301,5,115,985,1,0,3,1,0,0,158398662443008,9007199254773761,275146375168,4503874773745664,275154763776,158604820905984,22.80105,21.13713,20.25994,19.95979,19.67383,0.2263801,0.03413542,0.02299565,0.02310936,0.05517467,21.63927,20.18806,19.40812,18.92835,19.08149,0.3755929,0.05196936,0.03676834,0.03684971,0.1331402,1.321768,2.864438,21.61592,20.29119,19.42536,18.97716,18.73678,0.1565244,0.02744965,0.01866759,0.01821254,0.04336508,21.35207,20.10712,19.37923,18.81391,18.83794,0.1592115,0.02764058,0.01881489,0.01840638,0.04583077,0,0.3101234,0.1925348,0.5457468,0.4380538,1.087166,1.247476,1.179224,0.9813739,0.9752274,257,216225729,5121913,3,3,24577,24705,24577,24577,24577,-0.6667923547569,0.717092949665475,0.20289321619467,0.1185276,0.09235588,0.06389137,0.04747814,0.03531501,16298237042258,1237671262272290816,0,2.46405210039246
science,K2,Kepler,hlsp_k2sff,kepler,OPTICAL,k2sff211409951,,k2sff211409951-c05_lc,132.970749,11.791916,,,timeseries,2,57139.0959716435,57213.9442542824,1800,418400000000,905000000000,,NaN,hlsp_k2sff,5,POLYGON ICRS 132.96847908 11.79413800 132.96847911 11.78969400 132.97301889 11.78969400 132.97301892 11.79413800,http://archive.stsci.edu/hlsps/k2sff/c05/211400000/09951/hlsp_k2sff_k2_lightcurve_211409951-c05_kepler_v1_llc.png,False,5885,9200169386,9200169386,506.054777675517,1237671262272357420,132.970749297449,11.7919164027381,0.00178909145618368,2,6004,301,5,116,1068,1,0,3,1,0,0,68987912704,9007199388999681,275146375168,4503874773745664,275154764288,275280592896,23.20237,21.51134,21.12787,21.02485,20.85858,0.3145476,0.05128549,0.04425719,0.04978836,0.1313522,21.82351,20.35854,19.67104,19.07923,21.67327,0.8347797,0.08812605,0.06820969,0.07602482,2.63034,1.82763,4.140021,22.13331,20.32288,19.69225,19.33253,19.40305,0.3423841,0.03867874,0.03326034,0.04051038,0.1115981,22.21095,20.39967,19.69225,18.80093,19.58617,0.3466801,0.03880123,0.03326034,0.04168102,0.1087266,0.8079224,0.1153547,0,0.5487575,0,1.12633,1.331078,1.188977,0.9852018,1.010451,257,216539016,5121922,3,3,24577,24705,24577,24577,24705,-0.667240044909537,0.716260115047357,0.204357945922016,0.12831,0.09997825,0.06916449,0.05139663,0.03822965,16298231863844,1237671262272356352,0,3.31420019889777
