#Table1
ra,dec,u,g,r,i,z
132.663679908833,11.3318958978295,22.69184,21.89044,20.13617,19.48577,18.98562
132.648853203074,11.3879374518746,24.69102,21.98243,20.46815,19.52488,18.99304
132.650860205595,11.3807494331487,23.72783,22.37502,20.73017,20.28893,20.07841
132.658561793202,11.3532890526531,24.89026,22.20214,20.61699,19.93638,19.5515
132.638282799744,11.4321958141748,25.68492,22.30326,21.98758,21.85401,21.38968
132.663698247489,11.3449047405143,22.84528,21.85568,20.91455,20.74275,20.04745
132.657583302024,11.3731120593008,24.07777,22.68202,22.6447,21.99919,21.10405
132.656158632254,11.37336232756,24.14071,24.06566,22.3116,23.90554,22.41213
132.673462644411,11.3189087400812,24.03267,22.31848,20.91753,19.71948,19.12688
132.645742000305,11.4167917017258,23.03909,22.49393,22.70432,21.95991,21.40846
132.678576019175,11.3076922471127,22.07115,21.88259,20.69135,20.47668,19.8002
132.674766185187,11.3210119815604,23.54122,22.31322,21.09574,19.74245,19.10706
132.676635941028,11.3222655968251,24.8882,22.24588,20.56834,19.78514,19.29483
132.674837748988,11.32484493589,22.65914,22.17012,21.16137,20.88718,21.18572
132.651387029654,11.4095225035687,25.05213,21.92095,20.52526,19.43826,18.98048
132.653155185301,11.4046665030675,26.02815,22.61902,21.18399,19.65345,18.90977
132.671677038667,11.3449556495448,22.12782,21.26691,20.13785,19.71295,19.50534
132.655288884007,11.4096469985181,24.16101,22.80611,21.16853,20.11212,19.46647
132.67152190205,11.3620457487829,25.84319,22.39324,21.25646,21.09387,21.49688
132.653513162036,11.4249101334239,22.53335,22.27489,22.05742,21.52073,22.10539
132.672055141571,11.3645146156939,22.36927,21.31724,20.02315,19.43847,18.98456
132.653273399585,11.4306445041267,24.18983,22.4936,21.40474,21.05142,20.68854
132.677695036217,11.3482310155952,21.97255,20.71746,20.55213,20.18903,20.15467
132.690506397609,11.3043775160565,23.44524,22.84404,22.74119,23.06671,22.89702
132.666698406527,11.3904625010707,22.17628,21.46349,21.14451,21.0641,21.12544
132.659981162514,11.4130054261189,23.0328,22.75032,21.64175,21.10161,20.53288
132.653106073359,11.4400344267137,22.89343,21.7244,20.49177,19.96601,19.55742
132.654815397079,11.4414761733129,23.70011,21.86397,21.40119,21.06172,21.27648
132.652186675746,11.4382670307454,24.69558,22.16522,21.722,21.34821,21.63847
132.693315790581,11.3046039368193,22.5745,22.53797,21.38951,21.2523,21.16982
132.690829935746,11.3142071674998,23.86337,21.58148,20.20951,19.05246,18.44396
132.68146337529,11.3507947592381,22.66896,21.19276,19.91199,19.42813,18.9728
132.658063470218,11.4359965973639,23.34372,23.03471,21.8186,20.43328,19.82034
132.65648685133,11.4352124138577,23.88263,21.53983,20.59722,20.19911,19.96533
132.657865115378,11.4429282065825,22.66434,22.06911,20.94888,20.61453,20.43657
132.681430970587,11.3728431992473,22.69586,22.35144,21.16758,19.70376,18.9765
132.675473182867,11.3954692931933,24.13345,22.98386,22.10766,21.17789,20.50495
132.684967844537,11.3643246847285,24.06498,21.55229,19.89595,19.3922,19.10832
132.687610229051,11.3575472788227,24.85588,22.76727,22.21633,22.06077,21.94406
132.680369041237,11.3882623387424,23.98555,22.86442,22.41059,21.4506,21.40022
132.686969177357,11.3670149409671,25.28085,22.1249,20.51845,19.85478,19.42294
132.691851302222,11.350890065967,23.00085,22.9258,22.74738,22.15532,21.93212
132.67527569832,11.4183506318944,22.6888,21.96866,20.85893,20.45918,20.4146
132.703338490453,11.3229884073164,23.98258,22.19911,20.83434,19.58625,18.91261
132.684821043915,11.38938238075,25.30183,22.28834,22.44,22.32935,21.44422
132.681210959467,11.4038340684072,21.85792,20.61847,20.09015,19.80279,19.48097
132.71099050607,11.3014249973326,24.03623,22.27741,21.32763,21.32596,20.75385
132.694955081025,11.3625717618384,22.3834,22.15995,22.64232,21.77988,22.34219
